Product_name, Category, Subcategory, SearchTerm, Rating, Reviews, Product_Url
MB Quart - Discus 6-1/2" 2-Way Car Speakers with Polypropylene Cones (Pair) - Gray/Black,Phones,Archos,Archos 40 Titanium,0,Not yet reviewed,https://www.bestbuy.com/site/mb-quart-discus-6-1-2-2-way-car-speakers-with-polypropylene-cones-pair-gray-black/6359803.p?skuId=6359803
Honeywell - TurboForce Floor Fan - Black,Phones,ZTE,ZTE Blade A910,4.7,33,https://www.bestbuy.com/site/honeywell-turboforce-floor-fan-black/6020351.p?skuId=6020351
Presto - SaladShooter - White,Phones,ZTE,ZTE Blade A910,4.4,5,https://www.bestbuy.com/site/presto-saladshooter-white/9373901.p?skuId=9373901
The Matrix [10th Anniversary] [Blu-ray] [1999],Phones,BLU,BLU Neo X,4.8,1035,https://www.bestbuy.com/site/the-matrix-10th-anniversary-blu-ray-1999/1456408.p?skuId=1456408
The Matrix [10th Anniversary] [Includes Digital Copy] [Blu-ray] [1999],Phones,BLU,BLU Neo X,4.8,1035,https://www.bestbuy.com/site/the-matrix-10th-anniversary-includes-digital-copy-blu-ray-1999/9214405.p?skuId=9214405
Hall Pass [Blu-ray] [2011],Phones,BLU,BLU Neo X,4.5,135,https://www.bestbuy.com/site/hall-pass-blu-ray-2011/6002517.p?skuId=6002517
Modern Comedies: 4 Film Favorites [4 Discs] [Blu-ray],Phones,BLU,BLU Neo X,4.8,14,https://www.bestbuy.com/site/modern-comedies-4-film-favorites-4-discs-blu-ray/4331751.p?skuId=4331751
Sony - PlayStation 4 1TB Fortnite Neo Versa Console Bundle - Jet Black,Phones,BLU,BLU Neo XL,4.8,330,https://www.bestbuy.com/site/sony-playstation-4-1tb-fortnite-neo-versa-console-bundle-jet-black/6360910.p?skuId=6360910
40 Live: Curaetion-25 + Anniversary [Blu-Ray Disc],Phones,BLU,BLU Neo XL,0,Not yet reviewed,https://www.bestbuy.com/site/40-live-curtion-25-anniversary-blu-ray-disc/34761804.p?skuId=34761804
Alita: Battle Angel [Includes Digital Copy] [3D] [4K Ultra HD Blu-ray/Blu-ray] [4K Ultra HD Blu-ray/Blu-ray/Blu-ray 3D] [2019],Phones,BLU,BLU Neo XL,4.8,2625,https://www.bestbuy.com/site/alita-battle-angel-includes-digital-copy-3d-4k-ultra-hd-blu-ray-blu-ray-4k-ultra-hd-blu-ray-blu-ray-blu-ray-3d-2019/6333206.p?skuId=6333206
